,user_id,age,location_city,location_state,location_country
0,8,23.0,timmins,ontario,canada
1,11400,49.0,ottawa,ontario,canada
2,67544,30.0,toronto,ontario,canada
3,85526,36.0,victoria,britishcolumbia,canada
4,96054,29.0,ottawa,ontario,canada
5,116866,35.96190476190476,ottawa,ontario,canada
6,123629,36.59016393442623,kingston,ontario,canada
7,177458,29.0,ottawa,ontario,canada
8,200273,36.0,comber,ontario,canada
9,210926,32.0625,guelph,ontario,canada
10,219008,60.0,halifax,novascotia,canada
11,263325,27.0,fredericton,newbrunswick,canada
12,2954,71.0,wichita,kansas,usa
13,152827,40.0,ottawa,ontario,canada
14,35704,53.0,kansascity,missouri,usa
15,83160,65.0,oregoncity,oregon,usa
16,110912,36.0,milpitas,california,usa
17,137688,46.0,medford,newyork,usa
18,157969,30.0,denver,colorado,usa
19,192665,47.0,vacaville,california,usa
20,197659,49.0,indiana,pennsylvania,usa
21,208059,45.0,payson,arizona,usa
22,209163,35.0989010989011,columbus,ohio,usa
23,29526,26.0,knoxville,tennessee,usa
24,36836,56.0,raleigh,northcarolina,usa
25,46398,37.0,sanantonio,texas,usa
26,49300,40.46666666666667,loveland,colorado,usa
27,49635,36.41580756013746,seattle,washington,usa
28,67958,39.0,idahofalls,idaho,usa
29,113270,25.0,evanston,illinois,usa
30,113519,41.8125,pleasanton,california,usa
31,115097,27.0,seattle,washington,usa
32,136509,31.0,santabarbara,california,usa
33,148712,45.125,homer,alaska,usa
34,178269,60.0,harborcity,california,usa
35,180297,41.0,annarbor,michigan,usa
36,188589,20.0,klang,selangor,malaysia
37,194722,36.604166666666664,dallas,texas,usa
38,198013,32.42857142857143,sandy,utah,usa
39,200674,58.0,pittsburg,missouri,usa
40,207148,42.0,sandiego,california,usa
41,211919,38.0,jacksonville,florida,usa
42,212449,35.1436170212766,austin,texas,usa
43,213191,37.57446808510638,sandiego,california,usa
44,230522,52.0,coloradosprings,colorado,usa
45,236322,40.22439024390244,houston,texas,usa
46,238557,21.0,kualalumpur,kualalumpur,malaysia
47,242247,42.0,livonia,michigan,usa
48,245827,37.1900826446281,albuquerque,newmexico,usa
49,248583,34.78378378378378,vancouver,britishcolumbia,canada
50,252282,42.0,sammamish,washington,usa
51,252921,22.0,renton,washington,usa
52,255661,34.0,parker,colorado,usa
53,52614,33.0,toccoa,ga,usa
54,225910,19.0,annville,pennsylvania,usa
55,274634,33.0,wahiawa,hawaii,usa
56,98499,34.11357340720222,toronto,ontario,canada
57,166596,57.0,greenwood,britishcolumbia,canada
58,189238,31.8,dunedin,otago,newzealand
59,223066,51.0,ottawa,ontario,canada
60,92861,34.78378378378378,vancouver,britishcolumbia,canada
61,3363,29.0,knoxville,tennessee,usa
62,61501,23.0,timmins,ontario,canada
63,148514,42.333333333333336,barstow,california,usa
64,174304,26.0,stlouis,missouri,usa
65,177090,37.0,ashland,missouri,usa
66,256233,39.875,glenallen,virginia,usa
67,263256,32.68421052631579,knoxville,tennessee,usa
68,176875,31.0,tampere,pirkanmaa,finland
69,213915,29.0,sheffield,england,unitedkingdom
70,35826,36.0,prosperity,southcarolina,usa
71,226745,38.0,humble,texas,usa
72,9,38.588235294117645,germantown,tennessee,usa
73,243,58.5,ardenhills,minnesota,usa
74,388,35.0,nashville,tennessee,usa
75,2977,25.0,richland,washington,usa
76,3329,36.0,grantsville,utah,usa
77,6795,31.0,portland,oregon,usa
78,7346,49.0,sunnyvale,california,usa
79,7352,53.0,houston,texas,usa
80,9419,34.5,somewhere,texas,usa
81,9747,34.76470588235294,ofallon,missouri,usa
82,9856,22.0,glendale,california,usa
83,11224,51.0,tumwater,washington,usa
84,12685,37.18518518518518,charlotte,northcarolina,usa
85,12923,39.0,louisville,kentucky,usa
86,13552,32.0,cordova,tennessee,usa
87,13582,29.0,lisboa,lisboa,portugal
88,14521,30.125,providence,rhodeisland,usa
89,16666,52.5,rogersville,tennessee,usa
90,16795,47.0,mechanicsville,maryland,usa
91,17761,31.0,pinckney,michigan,usa
92,19445,50.0,selden,newyork,usa
93,20435,62.0,fairhope,alabama,usa
94,20462,26.0,bossiercity,louisiana,usa
95,20801,29.0,riodejaneiro,riodejaneiro,brazil
96,20916,36.0,elmwood,massachusetts,usa
97,21264,31.0,northbrunswick,newjersey,usa
98,23511,56.0,chapelhill,northcarolina,usa
99,23768,45.0,stlouis,missouri,usa
100,26240,36.89473684210526,sacramento,california,usa
101,26544,37.0,woodbridge,virginia,usa
102,26593,44.92,peoria,illinois,usa
103,27684,15.0,knox,pennsylvania,usa
104,28123,36.0,indiuanapolis,indiana,usa
105,28619,36.36363636363637,hartford,connecticut,usa
106,29654,42.0,offenbach,hessen,germany
107,30487,40.0,newburypark,california,usa
108,30533,37.875,charleston,southcarolina,usa
109,31299,74.0,homercity,pennsylvania,usa
110,31315,34.0,henryville,indiana,usa
111,31556,51.0,chulavista,california,usa
112,31560,37.875,charleston,southcarolina,usa
113,31694,34.8,chulavista,california,usa
114,32516,44.0,strose,louisiana,usa
115,35857,36.0,mentor,ohio,usa
116,35859,36.47826086956522,duluth,minnesota,usa
117,36606,39.0,sanmarcos,california,usa
118,37874,43.0,williamsburg,virginia,usa
119,38718,34.0,aloha,oregon,usa
120,38991,68.0,cumby,texas,usa
121,39345,47.0,jacksonville,florida,usa
122,39646,35.0,fairlesshills,pennsylvania,usa
123,40889,37.0,brainerd,minnesota,usa
124,41781,54.0,clintontwp,michigan,usa
125,44663,20.833333333333332,klang,selangor,malaysia
126,45585,37.57446808510638,sandiego,california,usa
127,46389,55.0,pineknollshores,northcarolina,usa
128,46767,24.0,leipzig,sachsen,germany
129,47971,40.0,toronto,ontario,canada
130,48268,18.0,vienna,vienna,austria
131,48911,57.0,neworleans,louisiana,usa
132,49168,57.0,ivydale,westvirginia,usa
133,49994,40.0,clintonville,wisconsin,usa
134,52584,45.0,livermore,california,usa
135,52994,33.42857142857143,colton,california,usa
136,54005,59.0,lacey,washington,usa
137,54884,33.0,nashua,newhampshire,usa
138,55027,44.0,burlington,ontario,canada
139,55492,43.0,antioch,illinois,usa
140,57108,38.0,newyork,newyork,usa
141,57423,31.833333333333332,coburg,oregon,usa
142,57632,35.0,pearland,texas,usa
143,59038,28.0,sanantonio,texas,usa
144,59390,48.2,uniontown,ohio,usa
145,60130,41.0,lowell,arkansas,usa
146,60569,41.0,chardon,ohio,usa
147,60683,47.0,hartford,connecticut,usa
148,62667,53.0,warsaw,indiana,usa
149,62881,39.0,milwaukee,wisconsin,usa
150,63470,56.0,reno,nevada,usa
151,64535,43.0,fredericksburg,virginia,usa
152,64679,34.0,buffalogrove,illinois,usa
153,66387,52.0,kokomo,indiana,usa
154,67487,33.0,melbourne,victoria,australia
155,68256,28.0,chickasha,oklahoma,usa
156,68537,70.0,friendswood,texas,usa
157,69232,55.0,mooresville,northcarolina,usa
158,70205,36.34146341463415,fresno,california,usa
159,70666,18.0,warwick,rhodeisland,usa
160,72523,37.0,grandisland,newyork,usa
161,72975,21.0,minneapolis,minnesota,usa
162,74709,21.0,macomb,michigan,usa
163,75691,17.0,cincinnati,ohio,usa
164,75819,36.0,westfalls,newyork,usa
165,76352,58.0,olympia,washington,usa
166,76368,39.54545454545455,langley,britishcolumbia,canada
167,76942,25.0,sacramento,california,usa
168,78165,32.76923076923077,bologna,emiliaromagna,italy
169,78754,36.0,dwight,illinois,usa
170,78834,28.0,honolulu,hawaii,usa
171,78973,29.0,amadora,lisboa,portugal
172,79186,37.0,fairbanks,alaska,usa
173,79740,24.0,stlouis,missouri,usa
174,80810,33.0,warrensburg,missouri,usa
175,81088,18.0,romsey,hampshire,unitedkingdom
176,81298,20.0,savannah,georgia,usa
177,82114,28.0,fairoaks,california,usa
178,82893,40.0,sanantonio,texas,usa
179,83034,40.46875,fairbanks,alaska,usa
180,84024,37.0,abilene,texas,usa
181,84611,35.26315789473684,fremont,california,usa
182,85534,49.0,cleveland,ohio,usa
183,86303,31.0,denver,colorado,usa
184,86969,59.0,forestgrove,oregon,usa
185,87257,40.0,coeurdalene,idaho,usa
186,87929,25.0,portland,oregon,usa
187,88006,27.0,fresno,california,usa
188,90322,45.25,lakeland,florida,usa
189,91633,21.0,frenchcamp,california,usa
190,91832,33.905660377358494,miami,florida,usa
191,93055,38.7,stcharles,missouri,usa
192,93363,30.0,farmingtonhills,michigan,usa
193,93643,36.0,bergheim,texas,usa
194,93772,36.84488448844885,portland,oregon,usa
195,93800,52.0,mountvernon,washington,usa
196,94139,41.8125,sanmarcos,california,usa
197,94396,62.0,shoreline,washington,usa
198,97721,46.0,castrovalley,california,usa
199,98012,48.0,fridayharbor,washington,usa
200,98468,33.0,eugene,oregon,usa
201,98723,29.0,cincinnati,ohio,usa
202,98923,36.0,libertytownship,ohio,usa
203,100009,49.0,victoria,britishcolumbia,canada
204,100393,31.695652173913043,riverside,california,usa
205,101209,44.0,fthuachuca,arizona,usa
206,102647,14.0,modesto,california,usa
207,102967,54.0,olympia,washington,usa
208,103315,32.0,norton,massachusetts,usa
209,103416,33.0,tucson,arizona,usa
210,105124,39.0,sarasota,florida,usa
211,105937,27.0,tampa,florida,usa
212,105979,26.0,oakland,california,usa
213,106230,36.0,dumas,texas,usa
214,107201,38.0,troy,michigan,usa
215,107244,50.0,appleton,wisconsin,usa
216,107784,36.0,tarentum,pennsylvania,usa
217,108143,17.0,cincinnati,ohio,usa
218,108247,36.0,winterville,northcarolina,usa
219,110127,31.526315789473685,cambridge,massachusetts,usa
220,110440,29.0,fairfax,virginia,usa
221,110558,33.99390243902439,losangeles,california,usa
222,110973,43.0,wileyford,westvirginia,usa
223,112001,43.0,barrensprings,virginia,usa
224,112093,35.0,spencer,massachusetts,usa
225,112280,50.0,saintcharles,missouri,usa
226,113328,36.0,paintedpost,newyork,usa
227,114544,35.0,antelope,california,usa
228,115003,43.0,asheville,northcarolina,usa
229,115120,29.0,shermanoaks,california,usa
230,116127,34.78378378378378,vancouver,britishcolumbia,canada
231,116428,47.0,pickering,ontario,canada
232,117594,26.0,moline,illinois,usa
